RuleUrn,InflectionClasses,Ending,Gender,Case,Number,Degree
adjinfl.os_h_on1,os_h_on,os,masc,nom,sg,pos
adjinfl.os_h_on2,os_h_on,ou,masc,gen,sg,pos
adjinfl.os_h_on3,os_h_on,w|,masc,dat,sg,pos
adjinfl.os_h_on4,os_h_on,on,masc,acc,sg,pos
adjinfl.os_h_on5,os_h_on,e,masc,voc,sg,pos

adjinfl.os_h_on6,os_h_on,w,masc,nom,dual,pos
adjinfl.os_h_on7,os_h_on,oin,masc,gen,dual,pos
adjinfl.os_h_on8,os_h_on,oin,masc,dat,dual,pos
adjinfl.os_h_on9,os_h_on,w,masc,acc,dual,pos
adjinfl.os_h_on10,os_h_on,w,masc,voc,dual,pos

djinfl.os_h_on11,os_h_on,oi,masc,nom,pl,pos
adjinfl.os_h_on12,os_h_on,wn,masc,gen,pl,pos
adjinfl.os_h_on13,os_h_on,ois,masc,dat,pl,pos
adjinfl.os_h_on14,os_h_on,ous,masc,acc,pl,pos
adjinfl.os_h_on15,os_h_on,oi,masc,voc,pl,pos






adjinfl.os_h_on16,os_h_on,h,fem,nom,sg,pos
adjinfl.os_h_on17,os_h_on,hs,fem,gen,sg,pos
adjinfl.os_h_on18,os_h_on,h|,fem,dat,sg,pos
adjinfl.os_h_on19,os_h_on,hn,fem,acc,sg,pos
adjinfl.os_h_on20,os_h_on,h,fem,voc,sg,pos

adjinfl.os_h_on21,os_h_on,a_,fem,nom,dual,pos
adjinfl.os_h_on22,os_h_on,ain,fem,gen,dual,pos
adjinfl.os_h_on23,os_h_on,ain,fem,dat,dual,pos
adjinfl.os_h_on24,os_h_on,a_,fem,acc,dual,pos
adjinfl.os_h_on25,os_h_on,a_,fem,voc,dual,pos

djinfl.os_h_on26,os_h_on,ai,fem,nom,pl,pos
adjinfl.os_h_on27,os_h_on,wn,fem,gen,pl,pos
adjinfl.os_h_on28,os_h_on,ais,fem,dat,pl,pos
adjinfl.os_h_on29,os_h_on,a_s,fem,acc,pl,pos
adjinfl.os_h_on30,os_h_on,ai,fem,voc,pl,pos
