RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_pres_subj1,w_regular,w,1st,sg,pres,subj,act
verbinfl.w_pres_subj2,w_regular,h|s,2nd,sg,pres,subj,act
verbinfl.w_pres_subj3,w_regular,h|,3rd,sg,pres,subj,act

verbinfl.w_pres_subj4,w_regular,hton,2nd,dual,pres,subj,act
verbinfl.w_pres_subj5,w_regular,hton,3rd,dual,pres,subj,act

verbinfl.w_pres_subj6,w_regular,wmen,1st,pl,pres,subj,act
verbinfl.w_pres_subj7,w_regular,hte,2nd,pl,pres,subj,act
verbinfl.w_pres_subj8,w_regular,wsi,3rd,pl,pres,subj,act
verbinfl.w_pres_subj8n,w_regular,wsin,3rd,pl,pres,subj,act

verbinfl.w_pres_subj9,w_regular,wmai,1st,sg,pres,subj,mid
verbinfl.w_pres_subj10,w_regular,h|,2nd,sg,pres,subj,mid
verbinfl.w_pres_subj11,w_regular,htai,3rd,sg,pres,subj,mid

verbinfl.w_pres_subj12,w_regular,hsqon,2nd,dual,pres,subj,mid
verbinfl.w_pres_subj13,w_regular,hsqon,3rd,dual,pres,subj,mid

verbinfl.w_pres_subj14,w_regular,wmeqa,1st,pl,pres,subj,mid
verbinfl.w_pres_subj15,w_regular,hsqe,2nd,pl,pres,subj,mid
verbinfl.w_pres_subj16,w_regular,wntai,3rd,pl,pres,subj,mid


verbinfl.w_pres_subj17,w_regular,wmai,1st,sg,pres,subj,pass
verbinfl.w_pres_subj18,w_regular,h|,2nd,sg,pres,subj,pass
verbinfl.w_pres_subj19,w_regular,htai,3rd,sg,pres,subj,pass

verbinfl.w_pres_subj20,w_regular,hsqon,2nd,dual,pres,subj,pass
verbinfl.w_pres_subj21,w_regular,hsqon,3rd,dual,pres,subj,pass

verbinfl.w_pres_subj22,w_regular,wmeqa,1st,pl,pres,subj,pass
verbinfl.w_pres_subj23,w_regular,hsqe,2nd,pl,pres,subj,pass
verbinfl.w_pres_subj24,w_regular,wntai,3rd,pl,pres,subj,pass
