urn:cts:greekLit:tlg2020.tlg001:passage,nominative,genitive
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.1,Αἴας,Αἴαντος
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,ὁ κοχλίας,τοῦ κοχλίου
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.3,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.2,,
urn:cts:greekLit:tlg2020.tlg001:nouns.masculines.35,,
urn:cts:greekLit:tlg2020.tlg001:nouns.feminines.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.feminines.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.feminines.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.feminines.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.feminines.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.feminines.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.feminines.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.feminines.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.feminines.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.feminines.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.feminines.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.feminines.12,,
urn:cts:greekLit:tlg2020.tlg001:nouns.neuters.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.neuters.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.neuters.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.neuters.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.neuters.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.neuters.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.neuters.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.neuters.1,,
urn:cts:greekLit:tlg2020.tlg001:nouns.neuters.9,,
