CollectionId,CollectionUrn,Label
smyth,urn:cite:gmorph:smyth,"Lexicon of stems for all paradigm words in Smyth, Greek Grammar"
lysias1,urn:cite:gmorph:lysias1,"Supplementary list of selected stems attested in Lysias, 1, and useful for testing"
lexent,urn:cite:shot:lexent,"Greek lexical entities."
verbinfl,urn:cite:gmorph:verbinfl,"Inflectional patterns for verbs"
nouninfl,urn:cite:gmorph:nouninfl,"Inflectional patterns for nouns"
indeclinfl,urn:cite:gmorph:indeclinfl,"Inflectional pattern for indeclinable tokens"
adjinfl,urn:cite:gmorph:adjinfl,"Inflectional patterns for adjectives"
advinfl,urn:cite:gmorph:advinfl,"Inflectional patterns for adverbs"
infinfl,urn:cite:gmorph:infinfl,"Inflectional patterns for infinitives"
vadjinfl,urn:cite:gmorph:vadjinfl,"Inflectional patterns for verbal adjectives"
ptcplinfl,urn:cite:gmorph:ptcplinfl,"Inflectional patterns for participles"
irreginfl,urn:cite:gmorph:irreginfl,"Inflectional patterns for irregular forms"
