urn,normalizedlemma,shortdef
urn:cite:perseus:lexentity.lex13.1,Αἰάκης,""
urn:cite:perseus:lexentity.lex14.1,Αἰάντειος,""
urn:cite:perseus:lexentity.lex15.1,Αἰήτης,""
urn:cite:perseus:lexentity.lex16.1,Αἰαίη,""
urn:cite:perseus:lexentity.lex17.1,Αἰακίδης,""
urn:cite:perseus:lexentity.lex18.1,Αἰακός,""
urn:cite:perseus:lexentity.lex19.1,Αἰαντίδης,""
urn:cite:perseus:lexentity.lex20.1,Αἰαντίς,""
urn:cite:perseus:lexentity.lex21.1,Αἰαντόδωρος,""
urn:cite:perseus:lexentity.lex22.1,Αἰαῖος,""
urn:cite:perseus:lexentity.lex23.1,Αἰβούτιος,""
urn:cite:perseus:lexentity.lex25.1,Αἰγάλευς,""
urn:cite:perseus:lexentity.lex27.1,Αἰγίλεα,""
urn:cite:perseus:lexentity.lex28.1,Αἰγίλιψ,""
urn:cite:perseus:lexentity.lex29.1,Αἰγίμιος,""
urn:cite:perseus:lexentity.lex30.1,Αἰγίνιον,""
urn:cite:perseus:lexentity.lex31.1,Αἰγίπαν,""
urn:cite:perseus:lexentity.lex32.1,Αἰγίπλαγκτος,""
urn:cite:perseus:lexentity.lex33.1,Αἰγίς,""
urn:cite:perseus:lexentity.lex34.1,Αἰγίτιον,""
urn:cite:perseus:lexentity.lex35.1,Αἰγαί,""
urn:cite:perseus:lexentity.lex36.1,Αἰγαίων,""
urn:cite:perseus:lexentity.lex37.1,Αἰγαῖος,""
urn:cite:perseus:lexentity.lex38.1,Αἰγειρᾶτις,""
urn:cite:perseus:lexentity.lex39.1,Αἰγεσταῖος,""
urn:cite:perseus:lexentity.lex41.1,Αἰγεωνεύς,""
urn:cite:perseus:lexentity.lex42.1,Αἰγεύς,""
urn:cite:perseus:lexentity.lex43.1,Αἰγεῖον,""
urn:cite:perseus:lexentity.lex44.1,Αἰγηίς,""
urn:cite:perseus:lexentity.lex45.1,Αἰγιάλεια,""
urn:cite:perseus:lexentity.lex46.1,Αἰγιάλειος,""
urn:cite:perseus:lexentity.lex47.1,Αἰγιάλευς,""
urn:cite:perseus:lexentity.lex48.1,Αἰγιαλεύς,""
urn:cite:perseus:lexentity.lex49.1,Αἰγιαλός,""
urn:cite:perseus:lexentity.lex50.1,Αἰγιεύς,""
urn:cite:perseus:lexentity.lex51.1,Αἰγικόρας,""
urn:cite:perseus:lexentity.lex52.1,Αἰγιλιεύς,""
urn:cite:perseus:lexentity.lex53.1,Αἰγινήτης,""
urn:cite:perseus:lexentity.lex54.1,Αἰγιναίη,""
urn:cite:perseus:lexentity.lex55.1,Αἰγιναῖος,""
urn:cite:perseus:lexentity.lex56.1,Αἰγινητικός,""
urn:cite:perseus:lexentity.lex57.1,Αἰγινῆτις,""
urn:cite:perseus:lexentity.lex58.1,Αἰγιπόδης,""
urn:cite:perseus:lexentity.lex59.1,Αἰγιρόεσσα,""
urn:cite:perseus:lexentity.lex60.1,Αἰγιόν,""
urn:cite:perseus:lexentity.lex61.1,Αἰγλάτωρ,""
urn:cite:perseus:lexentity.lex62.1,Αἰγλήτης,""
urn:cite:perseus:lexentity.lex63.1,Αἰγληίς,""
urn:cite:perseus:lexentity.lex64.1,Αἰγοβόλος,""
urn:cite:perseus:lexentity.lex65.1,Αἰγοφάγος,""
urn:cite:perseus:lexentity.lex66.1,Αἰγυπτιάζω,""
urn:cite:perseus:lexentity.lex67.1,Αἰγυπτιακός,""
urn:cite:perseus:lexentity.lex68.1,Αἰγυπτιασμός,""
urn:cite:perseus:lexentity.lex69.1,Αἰγυπτιστί,""
urn:cite:perseus:lexentity.lex70.1,Αἰγυπτιόω,""
urn:cite:perseus:lexentity.lex71.1,Αἰγυπτιώδης,""
urn:cite:perseus:lexentity.lex72.1,Αἰγυπτογενής,""
