StemUrn,LexicalEntity,Stem,Gender,InflClass,Accent,Notes
smyth.n69947_0,lexent.n69947,neani,masc,as_ou,stemultacc,
smyth.n47039_0,lexent.n47039,ni_k,fem,h_hs,stemultacc,
smyth.n84511_0,lexent.n84511,poli_t,masc,hs_ou,stemultacc,
smyth.n60044_0,lexent.n60044,kri^t,masc,hs_ou,inflacc,
smyth.n47735_1,lexent.n47735,qa^latt,fem,a_hs,stempenacc,
smyth.n22453_0,lexent.n22453,glwtt,fem,a_hs,stemultacc,
smyth.n68262_0,lexent.n68262,moir,fem,a_as_short,stemultacc,
smyth.n112472_0,lexent.n112472,fu^g,fem,h_hs,inflacc,
smyth.n115193_0,lexent.n115193,xwr,fem,a_as_long,stempenacc,
smyth.n68151_0,lexent.n68151,mn,fem,a_as_comp,inflacc,
smyth.n98093_0,lexent.n98093,suk,h_hs_comp,inflacc,
smyth.n50824_0,lexent.n50824,i(pp,masc,os_ou,stempenacc,
smyth.n8909_0,lexent.n8909,a)nqrwp,masc,os_ou,stempenacc,
smyth.n272092_0,lexent.n272092,o(d,fem,os_ou,inflacc,
smyth.n29828_0,lexent.n29828,dwr,neut,os_ou,stempenacc,
smyth.n71023_0,lexent.n71023,n,masc,ous_ou_ult,inflacc,
smyth.n81948_0,lexent.n81948,masc,ous_ou,stemultacc,
smyth.n75595_0,lexent.n75595,ost,neut,ous_ou_ult,inflacc,
smyth.n69714_0,lexent.n69714,ne,masc,ws_w,inflacc,
